Depth(ft)	GR (API)
8310.5	76.4174419
8311	75.0146512
8311.5	74.2588372
8312	73.6315116
8312.5	73.2536047
8313	73.3443023
8313.5	73.7222093
8314	71.1618605
8314.5	63.4113953
8315	56.4667442
8315.5	48.7448837
8316	41.7751163
8316.5	37.1195349
8317	39.4018605
8317.5	48.7386047
8318	58.4409302
8318.5	66.8497674
8319	75.4430233
8319.5	83.9406977
8320	93.96
8320.5	95.2855814
8321	95.8167442
8321.5	94.6746512
8322	94.0428682
8322.5	93.4110853
8323	93.31
8323.5	93.31
8324	92.9653488
8324.5	91.6397674
8325	90.9609302
8325.5	90.8330233
8326	90.7051163
8326.5	90.3372093
8327	89.2323256
8327.5	83.6646512
8328	71.4213953
8328.5	59.0176744
8329	50.447907
8329.5	42.8237209
8330	34.1181395
8330.5	25.7516279
8331	26.5132558
8331.5	32.2653488
8332	38.7046512
8332.5	43.2188372
8333	50.8676744
8333.5	62.6269767
8334	72.7962791
8334.5	73.2776744
8335	62.6683721
8335.5	53.5316279
8336	46.8337209
8336.5	49.2988372
8337	54.6362791
8337.5	66.7572093
8338	76.1102326
8338.5	73.9837209
8339	69.0362791
8339.5	66.6938462
8340	65.94
8340.5	65.1861538
8341	67.3448837
8341.5	70.7616279
8342	73.1553488
8342.5	73.5332558
8343	73.6088372
8343.5	73.2309302
8344	72.2086047
8344.5	70.8830233
8345	75.1946512
8345.5	79.0127907
8346	78.9425581
8346.5	77.6034884
8347	77.4755814
8347.5	77.3476744
8348	76.115814
8348.5	77.0634884
8349	77.2597674
8349.5	70.817907
8350	65.7416279
8350.5	64.4160465
8351	62.4302326
8351.5	57.5837209
8352	50.0062791
8352.5	47.7053488
8353	51.1123256
8353.5	56.534186
8354	64.2832558
8354.5	71.8646512
8355	78.2330233
8355.5	79.755814
8356	78.6162791
8356.5	79.7225581
8357	80.6151163
8357.5	81.5532558
8358	82.0846512
8358.5	78.2669767
8359	74.2831395
8359.5	71.2540698
8360	73.11
8360.5	73.865814
8361	75.2597674
8361.5	79.2469767
8362	86.4572093
8362.5	89.7333721
8363	90.6810465
8363.5	85.1960465
8364	75.6167442
8364.5	68.9888372
8365	65.0201163
8365.5	63.3166279
8366	68.2923256
8366.5	74.467907
8367	77.5827907
8367.5	78.5944186
8368	79.6060465
8368.5	82.1986047
8369	84.852093
8369.5	86.8167442
8370	83.5274419
8370.5	82.9681395
8371	84.1018605
8371.5	87.1816279
8372	90.3130233
8372.5	92.7302326
8373	89.5895349
8373.5	90.5372093
8374	91.4848837
8374.5	92.4325581
8375	93.2344186
8375.5	92.5386047
8376	89.1625581
8376.5	86.0230233
8377	86.6887209
8377.5	87.3544186
8378	88.0201163
8378.5	85.1373256
8379	84.0036047
8379.5	83.772069
8380	85.6456322
8380.5	87.9546512
8381	89.9424419
8381.5	91.6459302
8382	88.1018605
8382.5	86.5330233
8383	86.9097674
8383.5	85.584186
8384	79.4906977
8384.5	79.0817442
8385	80.7346512
8385.5	84.7355814
8386	87.0088372
8386.5	85.3367442
8387	75.5332558
8387.5	70.9890698
8388	71.5404651
8388.5	72.2962791
8389	67.4637209
8389.5	57.8067442
8390	53.2602326
8390.5	54.9174419
8391	55.5376744
8391.5	56.8260465
8392	62.5272093
8392.5	70.9974419
8393	82.7206977
8393.5	89.8486047
8394	89.1869767
8394.5	87.9974419
8395	87.4276744
8395.5	87.8153488
8396	89.3269767
8396.5	90.8472093
8397	88.7080723
8397.5	86.9850769
8398	88.5081538
8398.5	90.0312308
8399	92.7025
8399.5	92.8782759
8400	91.93
8400.5	93.4472414
8401	95.35
8401.5	96.4893103
8402	94.5927586
8402.5	91.9453488
8403	89.95375
8403.5	88.3303448
8404	89.8475862
8404.5	91.7995349
8405	93.6592
8405.5	93.8477714
8406	94.0363429
8406.5	94.2249143
8407	95.62
8407.5	90.9630233
8408	84.07
8408.5	75.5297674
8409	71.7025
8409.5	70.077931
8410	68.5606897
8410.5	64.7941379
8411	63.8458621
8411.5	64.0582759
8412	66.5237931
8412.5	70.66
8413	73.3589655
8413.5	75.0658621
8414	73.2413793
8414.5	70.9711628
8415	69.97
8415.5	72.97
8416	74.7395385
8416.5	75.7549231
8417	76.84
8417.5	81.0860465
8418	81.865
8418.5	79.6922901
8419	80.4480153
8419.5	81.2037405
8420	84.0637209
8420.5	86.095
8421	87.8088372
8421.5	85.4893103
8422	84.9203448
8422.5	84.7762069
8423	84.9658621
8423.5	84.6925
8424	84.3286207
8424.5	84.1389655
8425	82.1681395
8425.5	77.5075
8426	73.8644186
8426.5	73.465
